principal component 1;principal component 2;load;failure
1.45;-0.75;30;0
0.92;-0.46;30;0
1.51;-0.41;40;0
1.87;-0.05;40;0
1.08;-0.30;40;0
2.10;-0.57;40;0
0.98;-0.39;40;0
1.41;-0.24;40;0
1.94;-0.34;40;0
0.88;-0.82;40;0
2.74;-0.66;40;0
1.73;-0.25;40;0
3.24;-0.24;40;0
1.79;-0.24;40;0
2.11;-0.37;40;0
1.41;-0.40;40;0
1.02;-0.40;40;0
0.65;-0.45;40;0
1.48;-0.50;40;0
1.54;-0.55;40;0
1.21;-0.06;40;0
1.45;-0.55;40;0
1.73;-0.74;40;0
2.72;-0.21;40;0
1.79;-0.32;40;0
1.42;-0.33;40;0
0.88;-0.67;40;0
2.20;-0.29;40;0
1.38;-0.47;40;0
2.64;0.04;40;0
0.35;-0.23;40;0
2.03;-0.87;40;0
1.45;-0.14;40;0
0.69;-0.15;40;0
0.57;-0.64;40;0
1.01;-0.78;40;0
3.71;-0.45;40;0
1.15;-0.12;40;0
1.82;-0.41;40;0
1.49;-0.37;40;0
1.81;-0.34;40;0
1.78;-0.22;40;0
2.53;-0.10;40;0
1.64;-0.26;40;0
1.14;-0.52;40;0
1.55;-0.50;40;0
2.08;0.35;40;0
0.58;-0.85;40;0
1.18;-0.65;40;0
2.45;-0.75;40;0
1.44;-0.55;40;0
1.32;-0.38;40;0
0.08;-0.74;40;0
2.63;-0.18;40;0
1.55;-0.13;40;0
1.76;-0.04;40;0
2.15;-0.21;40;0
1.71;-0.51;40;0
0.37;-0.50;40;0
0.81;-0.71;40;0
1.18;-0.53;40;0
0.49;-0.55;40;0
0.92;-0.39;40;0
2.11;0.10;40;0
1.42;-0.13;40;0
1.73;-0.36;40;0
1.99;-0.55;40;0
2.29;-0.53;40;0
1.08;-0.49;40;0
1.28;-0.74;40;0
2.55;-0.46;40;0
1.25;-0.47;40;0
2.11;0.12;40;0
1.97;-0.27;40;0
1.59;-0.68;40;0
1.22;-0.40;40;0
0.30;-0.68;40;0
2.64;-0.26;40;0
0.86;-0.92;40;0
2.00;-0.61;40;0
1.85;0.06;40;0
1.79;-0.20;40;0
2.12;-0.23;40;0
1.96;-0.11;40;0
1.40;-0.16;40;0
2.97;-0.52;40;0
1.38;-0.45;40;0
1.14;-0.75;40;0
0.59;-0.93;40;0
1.09;-0.37;40;0
0.73;-0.68;40;0
1.20;-0.92;40;0
1.63;-0.33;40;0
1.13;-0.45;40;0
1.77;-0.24;40;0
1.35;-0.70;40;0
3.54;-0.50;40;0
1.66;-0.51;40;0
2.18;-0.18;40;0
1.50;-0.44;40;0
1.41;-0.31;40;0
1.34;-0.44;40;0
1.27;-0.19;50;0
2.54;-0.70;50;0
2.85;-0.19;50;0
0.83;-0.40;50;0
1.66;-0.56;50;0
0.73;-0.68;50;0
0.60;0.02;50;0
1.28;-0.29;50;0
2.36;-0.09;50;0
0.24;-0.44;50;0
2.18;-0.31;50;0
1.42;-0.30;50;0
1.77;0.17;50;0
1.02;-0.32;50;0
0.58;-0.13;50;0
1.43;-0.38;50;0
1.38;-0.05;50;0
1.34;-0.51;50;0
0.86;-0.43;50;0
2.13;0.23;50;0
1.09;-0.09;50;0
2.34;-0.15;50;0
1.13;-0.26;50;0
1.40;-0.18;50;0
1.29;-0.45;50;0
2.54;-0.16;50;0
0.41;-0.54;50;0
2.58;-0.13;50;0
1.45;-0.18;50;0
3.10;0.37;50;0
1.77;-0.34;50;0
1.57;-0.13;50;0
2.01;-0.36;50;0
2.58;-0.08;50;0
2.26;0.08;50;0
0.81;-0.45;50;0
2.78;0.04;50;0
1.71;0.29;50;0
1.80;0.15;50;0
1.54;-0.25;50;0
0.84;-0.42;50;0
1.54;-0.13;50;0
1.45;-0.47;50;0
0.71;-0.32;50;0
0.07;-0.54;50;0
1.33;-0.35;50;0
1.94;0.06;50;0
0.63;-0.16;50;0
0.24;-0.79;50;0
0.85;-0.09;50;0
1.33;-0.39;50;0
2.81;-0.18;50;0
0.72;-0.56;50;0
1.62;-0.34;50;0
1.53;-0.35;50;0
1.53;-0.02;50;0
0.97;-0.16;50;0
0.66;-0.22;50;0
0.99;-0.31;50;0
1.78;-0.07;50;0
2.28;0.15;50;0
0.49;-0.64;50;0
2.56;-0.12;50;0
2.27;0.06;50;0
2.60;-0.22;50;0
1.25;-0.29;50;0
1.50;-0.09;50;0
1.50;0.05;50;0
1.78;-0.20;50;0
1.23;-0.30;50;0
1.29;-0.32;50;0
1.85;-0.22;50;0
0.92;-0.15;50;0
1.89;-0.46;50;0
1.08;-0.40;50;0
2.16;0.22;50;0
1.98;-0.10;50;0
1.98;0.08;50;0
0.32;-0.40;50;0
3.40;0.13;50;0
2.76;-0.22;50;0
2.51;-0.05;50;0
1.06;-0.30;50;0
1.10;-0.49;50;0
1.14;-0.56;50;0
1.70;-0.23;50;0
1.94;-0.29;50;0
0.43;-0.84;50;0
2.90;-0.11;50;0
1.15;-0.33;50;0
2.38;-0.28;50;0
1.09;-0.40;50;0
0.84;-0.01;50;0
1.26;-0.37;50;0
2.15;-0.37;50;0
1.66;-0.46;50;0
1.79;-0.38;50;0
1.16;-0.03;50;0
2.67;0.21;50;0
1.71;-0.28;50;0
0.89;-0.28;50;0
1.45;0.00;50;0
1.94;-0.31;50;0
3.24;-0.03;50;0
1.31;-0.61;50;0
3.43;0.30;50;0
2.06;-0.29;50;0
2.57;0.08;50;0
1.85;-0.46;50;0
1.45;-0.17;50;0
2.40;-0.12;60;0
1.30;-0.06;60;0
1.84;0.23;60;0
1.94;0.11;60;0
2.34;0.06;60;0
1.29;-0.63;60;0
2.81;0.28;60;0
3.19;0.40;60;0
3.42;0.26;60;0
1.99;-0.27;60;0
1.56;0.05;60;0
3.22;0.15;60;0
3.17;-0.14;60;0
1.79;-0.09;60;0
0.79;0.00;60;0
2.46;0.17;60;0
1.21;-0.24;60;0
1.65;-0.30;60;0
1.50;0.00;60;0
1.85;0.00;60;0
2.09;0.14;60;0
1.93;0.01;60;0
1.99;-0.17;60;0
4.07;0.17;60;0
3.02;-0.06;60;0
3.94;0.59;60;0
1.81;-0.28;60;0
1.90;-0.07;60;0
1.09;-0.37;60;0
2.06;-0.49;60;0
3.15;0.09;60;0
1.62;-0.44;60;0
3.18;0.01;60;0
2.06;-0.03;60;0
2.48;0.22;60;0
3.16;0.26;60;0
2.23;-0.04;60;0
2.87;0.12;60;0
3.61;0.44;60;0
2.72;-0.01;60;0
1.85;-0.19;60;0
2.93;0.20;60;0
2.96;0.38;60;0
2.30;-0.11;60;0
1.49;-0.08;60;0
2.25;0.31;60;0
2.15;-0.25;60;0
3.56;0.23;60;0
2.20;-0.35;60;0
2.44;0.20;60;0
2.32;-0.19;60;0
2.43;0.02;60;0
3.21;-0.12;60;0
0.90;-0.25;60;0
1.86;-0.02;60;0
2.52;-0.07;60;0
2.45;0.08;60;0
0.85;-0.66;60;0
3.33;0.34;60;0
2.86;0.29;60;0
2.90;0.11;60;0
1.26;-0.17;60;0
2.66;-0.02;60;0
3.18;0.35;60;0
2.89;-0.11;60;0
1.40;-0.08;60;0
2.61;-0.01;60;0
1.17;-0.26;60;0
2.67;0.17;60;0
1.39;-0.58;60;0
1.44;-0.33;60;0
1.77;0.14;60;0
1.88;-0.23;60;0
2.93;0.34;60;0
1.25;-0.08;60;0
2.78;0.27;60;0
2.93;0.21;60;0
3.69;0.50;60;0
2.91;0.01;60;0
2.95;0.22;60;0
3.22;-0.07;60;0
3.33;-0.13;60;0
1.72;-0.38;60;0
1.57;-0.12;60;0
3.29;0.17;60;0
1.69;-0.04;60;0
2.84;-0.15;60;0
2.18;-0.50;60;0
2.15;0.09;60;0
3.27;-0.30;60;0
2.36;0.17;60;0
1.69;-0.24;60;0
2.44;0.04;60;0
3.43;0.46;60;0
2.53;0.60;60;0
1.89;0.14;60;0
1.58;-0.02;60;0
2.42;0.00;60;0
1.97;-0.26;60;0
2.22;0.28;70;0
2.56;0.12;70;0
2.40;0.06;70;0
2.01;-0.01;70;0
2.20;-0.31;70;0
2.98;-0.43;70;0
1.86;0.11;70;0
1.77;-0.36;70;0
3.06;0.18;70;0
2.44;0.13;70;0
2.83;0.23;70;0
1.99;-0.20;70;0
2.83;-0.24;70;0
2.27;-0.20;70;0
2.35;-0.02;70;0
1.56;-0.05;70;0
2.32;0.10;70;0
2.53;0.09;70;0
3.15;0.23;70;0
2.47;-0.28;70;0
1.91;-0.31;70;0
2.23;-0.39;70;0
1.62;-0.13;70;0
3.41;0.20;70;0
1.49;-0.67;70;0
3.53;0.40;70;0
2.27;0.30;70;0
2.76;-0.06;70;0
2.30;0.27;70;0
2.87;0.34;70;0
3.04;0.07;70;0
3.10;0.04;70;0
1.49;0.03;70;0
2.35;0.03;70;0
2.45;0.07;70;0
1.78;0.25;70;0
1.95;0.02;70;0
1.32;-0.21;70;0
2.45;0.03;70;0
2.14;-0.37;70;0
2.96;0.19;70;0
2.46;-0.23;70;0
3.24;0.40;70;0
2.30;-0.11;70;0
3.23;0.26;70;0
2.47;0.19;70;0
2.49;0.11;70;0
4.14;0.33;70;0
1.77;0.00;70;0
2.59;0.16;70;0
1.53;-0.32;70;0
3.96;0.35;70;0
1.87;-0.16;70;0
2.76;-0.36;70;0
1.72;-0.25;70;0
2.37;0.02;70;0
2.45;-0.12;70;0
3.23;0.15;70;0
2.12;-0.18;70;0
3.29;0.12;70;0
2.14;-0.17;70;0
2.42;0.25;70;0
2.36;-0.51;70;0
2.07;0.07;70;0
1.47;0.17;70;0
1.79;-0.12;70;0
2.84;0.51;70;0
1.47;-0.05;70;0
3.26;0.44;70;0
2.24;0.24;70;0
3.06;-0.08;70;0
2.14;-0.04;70;0
2.07;-0.07;70;0
2.20;-0.26;70;0
2.15;-0.30;70;0
2.28;-0.21;70;0
1.66;-0.14;70;0
2.32;0.21;70;0
2.13;0.13;70;0
3.44;-0.13;70;0
2.54;-0.07;70;0
3.15;0.22;70;0
2.13;0.02;70;0
3.49;0.35;70;0
1.42;0.10;70;0
3.18;0.19;70;0
2.71;0.32;70;0
3.22;0.04;70;0
2.33;-0.27;70;0
1.50;-0.22;70;0
2.44;-0.47;70;0
1.76;-0.70;70;0
2.79;0.10;70;0
2.05;-0.54;70;0
3.33;0.27;70;0
2.05;0.08;70;0
3.37;0.23;70;0
2.53;0.01;70;0
2.22;0.20;70;0
2.60;-0.07;70;0
2.75;-0.13;70;0
1.81;-0.11;80;0
2.58;0.25;80;0
3.62;0.09;80;0
1.88;0.12;80;0
2.45;0.25;80;0
1.64;-0.27;80;0
2.59;0.16;80;0
1.25;-0.10;80;0
2.09;0.20;80;0
2.82;0.04;80;0
2.96;0.14;80;0
2.34;-0.12;80;0
2.22;-0.24;80;0
2.63;-0.32;80;0
2.25;-0.19;80;0
2.41;0.15;80;0
1.77;-0.39;80;0
3.14;-0.15;80;0
1.92;0.03;80;0
4.23;0.52;80;0
2.34;0.17;80;0
3.10;0.53;80;0
2.47;-0.07;80;0
3.16;0.17;80;0
2.01;-0.02;80;0
2.73;-0.28;80;0
2.84;-0.05;80;0
2.74;0.20;80;0
2.21;-0.17;80;0
2.51;-0.01;80;0
3.03;0.04;80;0
2.26;-0.28;80;0
3.27;0.43;80;0
1.43;-0.10;80;0
2.88;0.14;80;0
2.12;-0.06;80;0
3.93;0.50;80;0
2.11;0.22;80;0
2.22;0.09;80;0
1.66;-0.12;80;0
2.64;0.24;80;0
2.55;0.21;80;0
2.20;-0.40;80;0
3.80;0.21;80;0
2.66;-0.26;80;0
2.67;-0.12;80;0
2.26;-0.09;80;0
1.59;-0.03;80;0
2.20;-0.13;80;0
3.03;0.04;80;0
1.86;-0.10;80;0
3.10;-0.03;80;0
2.20;-0.04;80;0
4.13;0.05;80;0
2.20;-0.11;80;0
2.04;-0.57;80;0
2.77;0.39;80;0
1.95;-0.40;80;0
2.24;0.01;80;0
1.46;-0.06;80;0
2.90;0.01;80;0
3.55;0.17;80;0
3.00;0.15;80;0
2.71;-0.04;80;0
2.97;0.06;80;0
2.29;-0.12;80;0
3.43;0.32;80;0
1.46;0.25;80;0
1.36;-0.17;80;0
3.22;0.21;80;0
2.46;0.24;80;0
4.67;-0.13;80;0
2.21;-0.13;80;0
2.51;0.22;80;0
2.24;-0.34;80;0
2.25;0.13;80;0
1.33;0.09;80;0
2.57;0.01;80;0
2.47;-0.03;80;0
2.99;0.20;80;0
2.56;-0.21;80;0
3.13;0.12;80;0
3.19;-0.21;80;0
2.83;-0.10;80;0
2.11;0.33;80;0
1.60;-0.28;80;0
2.50;-0.18;80;0
2.14;0.38;80;0
3.86;0.22;80;0
1.93;0.05;80;0
2.35;0.13;80;0
2.47;-0.07;80;0
3.01;-0.12;80;0
1.99;-0.19;80;0
2.83;-0.01;80;0
3.17;-0.26;80;0
3.02;-0.02;80;0
3.30;-0.26;80;0
1.96;0.05;80;0
1.59;-0.05;90;0
3.19;0.29;90;0
2.36;0.09;90;0
1.78;0.00;90;0
1.87;-0.30;90;0
1.90;-0.16;90;0
1.52;-0.20;90;0
2.08;-0.38;90;0
2.26;-0.13;90;0
2.52;0.13;90;0
4.26;-0.19;90;0
1.49;0.25;90;0
2.45;0.28;90;0
2.37;0.03;90;0
3.41;0.16;90;0
1.88;-0.02;90;0
3.05;0.05;90;0
2.15;-0.10;90;0
3.24;0.23;90;0
1.86;-0.05;90;0
2.28;0.28;90;0
2.02;0.00;90;0
2.99;0.38;90;0
3.11;0.54;90;0
2.46;-0.07;90;0
3.11;0.24;90;0
2.23;-0.06;90;0
4.28;-0.25;90;0
2.00;0.23;90;0
1.97;0.35;90;0
1.95;0.29;90;0
3.66;0.35;90;0
1.49;0.22;90;0
2.49;0.07;90;0
2.21;-0.02;90;0
2.67;0.25;90;0
2.78;0.00;90;0
2.08;-0.10;90;0
2.51;0.20;90;0
2.27;-0.25;90;0
2.64;-0.03;90;0
2.03;-0.10;90;0
2.81;-0.13;90;0
2.45;0.00;90;0
2.92;0.06;90;0
3.10;-0.13;90;0
1.76;-0.34;90;0
1.77;-0.12;90;0
1.66;-0.30;90;0
2.43;-0.02;90;0
1.13;-0.27;90;0
2.63;0.31;90;0
2.01;-0.11;90;0
3.38;0.29;90;0
3.32;0.00;90;0
3.11;0.19;90;0
2.98;-0.07;90;0
3.69;0.36;90;0
2.55;0.27;90;0
2.71;-0.09;90;0
2.32;0.01;90;0
2.44;0.49;90;0
2.84;-0.06;90;0
2.21;0.30;90;0
2.29;0.27;90;0
2.46;-0.18;90;0
3.29;0.33;90;0
0.92;0.08;90;0
3.07;0.03;90;0
2.11;0.08;90;0
3.58;0.34;90;0
3.02;0.24;90;0
2.04;-0.06;90;0
2.83;0.03;90;0
2.33;0.22;90;0
1.54;0.03;90;0
1.89;-0.24;90;0
2.37;0.16;90;0
1.35;-0.08;90;0
5.05;-0.43;90;0
1.81;-0.09;90;0
2.37;0.17;90;0
2.13;0.16;90;0
2.64;0.15;90;0
1.88;0.09;90;0
2.81;0.07;90;0
2.19;0.00;90;0
3.30;0.08;90;0
2.01;-0.31;90;0
3.27;-0.07;90;0
2.15;0.02;90;0
2.41;-0.30;90;0
3.09;0.03;90;0
2.17;0.01;90;0
3.83;0.28;90;0
2.85;0.01;90;0
3.69;-0.10;90;0
2.65;-0.06;90;0
2.95;-0.04;90;0
2.45;0.26;90;0
3.36;0.24;90;0
2.08;0.10;90;0
2.10;-0.11;90;0
2.84;0.14;90;0
2.60;-0.16;90;0
3.28;0.07;90;0
-2.76;-0.65;0;1
-2.57;0.26;0;1
-2.88;-0.45;0;1
-3.55;-1.07;0;1
-2.77;-0.16;0;1
-3.18;-0.89;0;1
-2.72;-0.14;0;1
-3.05;-0.88;0;1
-3.10;-0.57;0;1
-2.52;-0.11;0;1
-2.53;-0.25;0;1
-2.38;-0.28;0;1
-2.66;-0.61;0;1
-2.46;-0.57;0;1
-3.04;-0.29;0;1
-2.56;-0.11;0;1
-3.54;-0.81;0;1
-2.73;-0.49;0;1
-1.86;0.68;0;1
-3.35;-0.65;0;1
-3.31;-0.89;0;1
-3.01;-0.62;0;1
-2.44;-0.24;0;1
-3.03;-0.43;0;1
-2.80;-0.44;0;1
-2.76;-0.17;0;1
-2.93;-0.65;0;1
-2.77;-0.16;0;1
-3.08;-0.64;0;1
-3.04;-0.43;0;1
-3.09;-0.34;0;1
-3.41;-1.04;0;1
-2.93;-0.19;0;1
-2.98;-0.64;0;1
-2.19;0.00;0;1
-1.78;0.52;0;1
-2.70;-0.72;0;1
-2.46;-0.24;0;1
-2.39;-0.29;0;1
-3.00;-0.70;0;1
-2.79;-0.21;0;1
-2.85;-0.29;0;1
-2.97;-0.37;0;1
-2.47;-0.26;0;1
-2.48;-0.14;0;1
-3.04;-0.66;0;1
-2.86;-0.49;0;1
-3.09;-0.57;0;1
-2.88;-0.32;0;1
-3.40;-0.73;0;1
-3.31;-0.64;0;1
-3.09;-0.74;0;1
-2.70;-0.08;0;1
-3.00;-0.27;0;1
-3.07;-0.85;0;1
-2.97;-0.23;0;1
-2.60;-0.35;0;1
-3.07;-0.48;0;1
-2.57;-0.03;0;1
-3.19;-0.60;0;1
-2.56;-0.35;0;1
-2.47;-0.03;0;1
-2.55;0.08;0;1
